"운영기관별(1)","시점",승차인원 (천명/년),수송인원 (천명/년)
"총계","2017",2572906,3606075
"총계","2018",2587003,3620705
"총계","2019",2645470,3710380
"총계","2020",1917800,2694150
"총계","2021",1966483,2759950
"서울","2017",1865024,2846086
"서울","2018",1878463,2857959
"서울","2019",1916172,2923644
"서울","2020",1395869,2126502
"서울","2021",1410853,2153288
"부산","2017",338850,338850
"부산","2018",336243,336243
"부산","2019",342549,342549
"부산","2020",246495,246495
"부산","2021",253924,253924
"대구","2017",163349,163349
"대구","2018",162837,162837
"대구","2019",167628,167628
"대구","2020",110237,110237
"대구","2021",122167,122167
"인천","2017",109366,156707
"인천","2018",112344,161440
"인천","2019",115815,166067
"인천","2020",85586,122041
"인천","2021",93295,133709
"광주","2017",18709,18709
"광주","2018",18883,18883
"광주","2019",19319,19319
"광주","2020",13583,13583
"광주","2021",14401,14401
"대전","2017",39702,39702
"대전","2018",39719,39719
"대전","2019",40262,40262
"대전","2020",26229,26229
"대전","2021",27346,27346
"부산-김해","2017",18854,18854
"부산-김해","2018",18323,18323
"부산-김해","2019",18480,18480
"부산-김해","2020",12719,12719
"부산-김해","2021",13550,13550
"의정부","2017",11746,13731
"의정부","2018",12211,14296
"의정부","2019",12953,15127
"의정부","2020",9774,11369
"의정부","2021",10511,12217
"용인","2017",7306,10087
"용인","2018",7980,11005
"용인","2019",8848,12074
"용인","2020",6403,8407
"용인","2021",7056,9293
"김포","2019",3444,5230
"김포","2020",10905,16568
"김포","2021",13380,20055
