"운영기관별(1)","시점","대상별(1)",무임승차 (천명),무임비용 (백만원)
"합계","2021","계",380197,510236
"합계","2021","노인",315412,423193
"합계","2021","장애인",60463,81260
"합계","2021","국가유공자",3855,5168
"합계","2021","기타",467,615
"서울교통공사","2021","계",205748,278438
"서울교통공사","2021","노인",170771,231108
"서울교통공사","2021","장애인",32868,44477
"서울교통공사","2021","국가유공자",2109,2853
"서울메트로 9호선(주)","2021","계",10682,13352
"서울메트로 9호선(주)","2021","노인",8655,10819
"서울메트로 9호선(주)","2021","장애인",1877,2346
"서울메트로 9호선(주)","2021","국가유공자",133,166
"서울메트로 9호선(주)","2021","기타",17,21
"서울교통공사9호선운영부문","2021","계",3789,4736
"서울교통공사9호선운영부문","2021","노인",3118,3897
"서울교통공사9호선운영부문","2021","장애인",485,606
"서울교통공사9호선운영부문","2021","국가유공자",186,233
"부산교통공사","2021","계",80009,109034
"부산교통공사","2021","노인",67718,92284
"부산교통공사","2021","장애인",11502,15675
"부산교통공사","2021","국가유공자",789,1075
"부산교통공사","2021","기타",0,0
"대구도시철도공사","2021","계",36742,45927
"대구도시철도공사","2021","노인",30933,38666
"대구도시철도공사","2021","장애인",5540,6924
"대구도시철도공사","2021","국가유공자",269,337
"대구도시철도공사","2021","기타",0,0
"인천교통공사","2021","계",17794,24022
"인천교통공사","2021","노인",14077,19004
"인천교통공사","2021","장애인",3583,4838
"인천교통공사","2021","국가유공자",134,180
"인천교통공사","2021","기타",0,0
"광주광역시 도시철도공사","2021","계",4564,6389
"광주광역시 도시철도공사","2021","노인",3660,5123
"광주광역시 도시철도공사","2021","장애인",670,939
"광주광역시 도시철도공사","2021","국가유공자",37,51
"광주광역시 도시철도공사","2021","기타",197,276
"대전교통공사","2021","계",6384,8251
"대전교통공사","2021","노인",4976,6408
"대전교통공사","2021","장애인",1105,1461
"대전교통공사","2021","국가유공자",64,83
"대전교통공사","2021","기타",239,299
"부산-김해 경전철(주)","2021","계",752,1079
"부산-김해 경전철(주)","2021","노인",0,0
"부산-김해 경전철(주)","2021","장애인",706,1012
"부산-김해 경전철(주)","2021","국가유공자",46,67
"부산-김해 경전철(주)","2021","기타",0,0
"의정부 경량전철(주)","2021","계",4375,6782
"의정부 경량전철(주)","2021","노인",3557,5514
"의정부 경량전철(주)","2021","장애인",783,1214
"의정부 경량전철(주)","2021","국가유공자",30,47
"의정부 경량전철(주)","2021","기타",5,7
"용인 경량전철(주)","2021","계",2639,3826
"용인 경량전철(주)","2021","노인",2181,3162
"용인 경량전철(주)","2021","장애인",438,635
"용인 경량전철(주)","2021","국가유공자",15,22
"용인 경량전철(주)","2021","기타",5,7
"우이 신설경전철(주)","2021","계",4474,5593
"우이 신설경전철(주)","2021","노인",3878,4848
"우이 신설경전철(주)","2021","장애인",571,714
"우이 신설경전철(주)","2021","국가유공자",23,29
"우이 신설경전철(주)","2021","기타",2,2
"김포골드라인(주)","2021","계",2245,2807
"김포골드라인(주)","2021","노인",1888,2360
"김포골드라인(주)","2021","장애인",335,419
"김포골드라인(주)","2021","국가유공자",20,25
"김포골드라인(주)","2021","기타",2,3
