"운영기관별(1)","시점",영업수입,영업수입,영업수입,영업비용,영업비용,영업비용,영업손익,영업외수익,영업외비용,경상손익
"운영기관별(1)","시점",소계,운수사업수익,기타사업수익,소계,인건비,경비,소계,소계,소계,소계
"서울교통공사","2017",19673,16165,3508,24892,12911,11981,-5219,772,807,-5254.0
"서울교통공사","2018",19865,16234,3631,25187,12748,12439,-5322,1684,1751,-5389.0
"서울교통공사","2019",20046,16367,3679,25370,12602,12768,-5324,504,1045,-5865.0
"서울교통공사","2020",15595,11932,3663,26497,13551,12946,-10902,507,743,-11138.0
"서울교통공사","2021",16291,12542,3749,25676,12267,13409,-9385,511,770,-9644.0
"서울메트로 9호선㈜","2017",1074,943,131,1260,16,1244,-186,382,306,-110.0
"서울메트로 9호선㈜","2018",1077,926,151,1250,17,1233,-173,412,317,-78.0
"서울메트로 9호선㈜","2019",1131,984,147,1283,212,1071,-152,379,337,-110.0
"서울메트로 9호선㈜","2020",899,758,141,1275,378,897,-376,430,298,-244.0
"서울메트로 9호선㈜","2021",926,788,138,1318,404,914,-392,536,289,-145.0
"서울교통공사9호선운영부문","2017",190,190,-,186,71,115,-4,1,-,-5.0
"서울교통공사9호선운영부문","2018",232,232,-,226,86,140,-6,3,-,-9.0
"서울교통공사9호선운영부문","2019",329,329,-,319,102,217,-10,-,10,-
"서울교통공사9호선운영부문","2020",357,357,-,347,118,229,10,-,10,-
"서울교통공사9호선운영부문","2021",281,274,7,407,134,273,-126,-,-,-126.0
"우이 신설경전철㈜","2017",36,35,1,138,7,131,-102,-,42,-144.0
"우이 신설경전철㈜","2018",129,117,12,322,11,311,-193,4,656,-845.0
"우이 신설경전철㈜","2019",150,122,28,302,10,292,-152,2,321,-471.0
"우이 신설경전철㈜","2020",134,116,18,280,10,270,-146,0,171,-317.0
"우이 신설경전철㈜","2021",296,279,17,289,10,279,7,1,211,-203.0
